Id,Date,Original,Calculated,TotalSentimentWords,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,TotalWords
1_4731,12/04/2011 19:34:51,5,2.90046501344198,200,5,17,1,3,6,2,5,16,405
1_4080,31/03/2011 11:21:33,5,1.1255396256438,199,5,13,1,8,2,14,4,10,394
1_3369,03/01/2011 19:41:09,5,1.29958525117262,193,0,9,0,0,0,2,3,13,456
1_4636,11/04/2011 12:59:31,5,3,197,4,18,1,2,6,3,4,11,408
1_3583,06/01/2011 23:48:22,5,1,168,4,20,3,6,2,3,4,9,352
1_3537,06/01/2011 13:25:20,5,3.60767785414973,251,7,18,3,8,10,4,6,14,504
1_4669,11/04/2011 22:04:36,5,3.46522114495616,250,2,27,0,5,10,6,4,26,525
1_3981,29/03/2011 18:50:50,5,2.00000901675947,208,5,11,2,3,12,17,2,13,413
1_3726,24/03/2011 16:57:56,5,1.95560897732587,375,21,25,8,27,9,10,8,29,818
1_4444,06/04/2011 23:45:17,5,2.08062141624527,364,20,22,8,17,3,12,7,27,808
1_4303,04/04/2011 20:18:51,5,1.1255396256438,199,8,16,4,10,7,3,3,12,401
1_3893,28/03/2011 15:18:38,5,5,214,2,16,2,3,5,1,4,13,502
1_3716,24/03/2011 12:59:25,5,2.46394933841505,220,7,15,2,5,4,4,2,13,422
1_4463,07/04/2011 19:44:02,5,2.75899391823457,231,4,21,1,9,11,6,4,24,527
1_3431,04/01/2011 19:04:49,5,2.51457729478026,183,4,13,3,8,17,20,1,9,410
1_4064,30/03/2011 17:50:57,5,1.82312573607855,380,18,20,7,26,13,13,13,33,800
1_3309,30/12/2010 23:22:49,5,1,185,3,13,0,6,0,1,0,10,405
1_4350,05/04/2011 15:49:08,5,2.5405708404887,359,6,21,1,5,15,8,2,25,809
1_4521,07/04/2011 18:08:15,5,1.04359691821095,303,13,29,6,22,11,19,11,28,658
1_3913,28/03/2011 18:38:29,5,2.06904549107123,341,8,25,1,6,16,14,5,27,724
1_3512,06/01/2011 00:21:11,5,3.99998196665011,198,5,11,1,8,1,3,3,16,397
1_3418,04/01/2011 15:55:08,5,1.87801406286733,359,14,34,3,9,23,16,7,33,758
1_4235,03/04/2011 21:14:21,5,2.87446984654577,206,9,14,2,8,3,8,4,7,444
1_3487,05/01/2011 17:42:38,5,1,315,13,19,2,22,13,7,8,27,654
1_4405,06/04/2011 13:25:54,5,1.7520829270199,212,9,30,3,9,10,7,9,21,411
1_3756,24/03/2011 23:33:01,5,4.32190645484045,137,1,14,1,1,4,4,2,12,295
1_4037,30/03/2011 12:47:07,5,1.04065984624882,260,11,18,1,9,2,9,4,12,563
1_3429,04/01/2011 18:49:32,5,2.58496851186283,193,5,19,0,5,5,2,3,19,401
1_5037,19/04/2011 00:27:07,5,1.87662315928257,140,5,3,2,7,1,5,2,6,266
1_3519,06/01/2011 08:34:44,5,5,271,3,22,0,1,8,1,5,23,538
1_3567,06/01/2011 21:23:06,5,3.41503148813717,307,3,20,1,4,5,3,7,24,673
1_3785,25/03/2011 14:48:42,5,2.71620815409982,361,11,27,6,9,16,13,12,23,804
1_3792,25/03/2011 18:32:02,5,1.00000983650121,342,28,21,8,19,21,8,10,31,688
1_3516,05/01/2011 19:59:25,5,3.4594291595113,381,7,24,4,8,14,13,6,28,793
1_5155,20/04/2011 19:22:56,5,2.54057329958816,216,6,15,1,3,3,5,1,14,454
1_5191,21/04/2011 11:20:54,5,3.58495047851294,149,1,11,3,3,7,3,0,8,326
1_5207,21/04/2011 15:04:02,5,3.99996393397645,196,11,26,1,0,3,2,10,12,396
1_5169,20/04/2011 21:56:56,5,1,202,4,13,2,7,4,9,7,8,402
1_3579,06/01/2011 23:04:27,5,5,532,9,49,5,9,21,3,9,38,1100
1_5213,21/04/2011 20:59:05,5,4.5849144124894,156,1,12,1,1,5,4,3,3,343
1_4809,14/04/2011 09:00:11,5,3.32192629152871,368,7,30,1,7,25,11,3,44,730
1_5234,22/04/2011 10:05:46,5,1.39232665425114,210,12,13,1,14,3,10,4,16,440
1_5461,27/04/2011 19:25:11,5,1.41505352904563,232,6,22,5,13,4,7,8,18,466
1_4831,14/04/2011 09:00:11,5,3.32192629152871,366,7,30,1,7,24,10,3,44,728
1_5433,27/04/2011 12:02:24,5,1,176,5,7,3,6,3,5,4,15,398
1_3255,29/12/2010 22:23:19,5,2.53605426830902,449,10,33,4,16,18,11,11,43,948
1_5208,21/04/2011 15:38:57,5,3.16759926053773,342,3,36,0,5,10,8,3,21,708
1_5553,29/04/2011 00:46:36,5,1,207,3,20,1,8,7,7,2,13,440
1_3234,27/12/2010 22:09:22,5,3.54114453289808,627,7,31,4,10,26,13,9,29,1348
1_5141,20/04/2011 15:39:03,5,2.21150962743175,340,5,27,2,8,15,9,8,24,735
1_6147,10/05/2011 16:44:07,5,3,148,5,15,2,5,6,5,5,13,308
1_4978,20/04/2011 17:59:15,5,1.96829441594621,485,20,32,4,27,10,14,7,25,970
1_5315,25/04/2011 15:34:17,5,2.62149087370189,351,6,32,5,6,17,13,4,20,742
1_5240,22/04/2011 18:36:39,5,2.73696679640656,264,13,20,2,8,14,7,12,22,564
1_5701,02/05/2011 20:37:33,5,1,264,8,18,3,10,3,6,7,20,505
1_5853,05/05/2011 02:31:30,5,3.80734719341008,191,2,17,1,0,5,2,6,14,390
1_5631,01/05/2011 19:56:29,5,1.22239826079482,305,16,20,5,16,7,8,7,23,593
1_5543,28/04/2011 22:17:49,5,2.80735621016955,229,4,15,3,2,8,12,7,13,465
1_6090,10/05/2011 05:24:51,5,3.48542270521974,229,3,19,0,2,11,5,6,23,480
1_5479,27/04/2011 19:06:45,5,2.66985308456595,389,8,24,5,7,21,16,9,26,834
1_5866,05/05/2011 12:32:22,5,2.41504551413998,202,5,14,1,3,5,3,1,8,395
1_6566,18/05/2011 13:11:36,5,1,211,3,11,3,8,5,2,4,13,446
1_5097,19/04/2011 20:29:33,5,1.24998746918768,433,17,31,7,15,6,7,5,30,895
1_5195,21/04/2011 12:39:50,5,3.37196749156697,347,8,38,1,14,18,10,10,27,714
1_6141,10/05/2011 20:31:23,5,2.55179742870968,323,10,16,6,11,8,13,6,22,657
1_6985,26/05/2011 01:54:33,5,1.00002705010936,148,5,15,0,2,8,3,4,16,327
1_5513,28/04/2011 14:57:25,5,1,239,3,11,1,11,2,5,2,17,476
1_7026,26/05/2011 19:40:22,5,1,248,14,8,10,21,3,6,4,15,437
1_6658,19/05/2011 17:11:30,5,4.49184147471808,230,7,19,2,3,9,4,5,14,459
1_5718,03/05/2011 09:53:43,5,1,243,14,17,5,18,2,6,5,25,474
1_5735,03/05/2011 15:58:34,5,1,391,16,29,11,19,13,15,11,44,791
1_7318,02/06/2011 01:39:31,5,1,182,1,9,0,3,1,2,1,12,385
1_6202,11/05/2011 19:12:14,5,2.19639945334621,429,19,32,9,20,22,16,10,31,915
1_7081,27/05/2011 20:16:30,5,1.31550892467029,259,13,18,10,16,9,14,2,25,504
1_6556,18/05/2011 15:18:21,5,3.60333913360749,354,3,26,0,4,8,10,0,15,742
1_6780,23/05/2011 04:23:09,5,1,179,5,17,1,11,5,10,6,15,401
1_7225,31/05/2011 18:31:37,5,2.62149170601307,206,2,14,1,7,13,15,5,11,397
1_5404,26/04/2011 22:04:27,5,2.25584181134083,525,8,46,5,19,22,13,7,54,1074
1_7194,31/05/2011 05:01:20,5,4.26302599017233,282,11,21,2,11,9,3,3,20,631
1_7507,06/06/2011 02:38:03,5,1.70045289646285,180,7,12,1,6,2,7,1,12,417
1_6599,18/05/2011 17:48:16,5,3.43740374014532,364,8,16,5,9,13,5,8,32,766
1_7216,31/05/2011 15:51:44,5,3.20163292028598,342,8,28,0,7,13,6,4,22,725
1_6939,25/05/2011 15:30:26,5,1.66213520543895,361,12,28,1,10,18,23,5,26,732
1_5954,06/05/2011 19:23:39,5,1,263,11,11,7,18,3,15,4,18,575
1_6898,24/05/2011 20:52:04,5,3.09310910383099,313,12,16,4,17,11,12,5,26,656
1_7561,07/06/2011 06:07:15,5,2.00001602967774,195,1,16,1,4,9,3,1,16,411
1_7550,07/06/2011 01:12:24,5,1,185,6,12,2,7,11,6,9,20,380
1_6802,23/05/2011 15:41:23,5,1.09311822081464,346,9,13,1,13,6,30,4,11,733
1_7361,02/06/2011 19:03:17,5,1.2064714078631,344,6,32,0,9,24,7,20,30,727
1_7593,07/06/2011 18:11:27,5,1,229,18,18,5,25,9,19,4,12,421
1_7770,10/06/2011 00:07:54,5,1.37852660493415,163,5,11,1,9,6,5,2,11,314
1_7683,08/06/2011 22:49:20,5,2.32193118636238,255,11,13,4,18,11,5,5,20,519
1_6982,25/05/2011 21:28:36,5,1.31648269705171,375,9,28,5,12,17,15,12,24,784
1_7554,06/06/2011 22:31:38,5,2.7369671971509,347,5,15,3,11,20,9,2,24,705
1_7628,07/06/2011 23:33:23,5,1,380,8,20,5,16,10,9,5,32,691
1_7284,01/06/2011 15:45:52,5,1.51457935578053,358,6,23,1,6,13,26,6,34,759
1_7984,14/06/2011 16:30:11,5,3.28010610068142,170,4,13,0,4,5,10,4,9,315
1_7515,06/06/2011 15:28:26,5,1,341,13,16,4,19,7,24,5,21,727
1_7486,05/06/2011 22:47:32,5,1,476,30,23,16,36,18,34,11,55,977
1_8151,17/06/2011 00:41:18,5,1,155,5,23,2,6,8,7,2,13,335
1_7391,02/06/2011 20:14:56,5,2.54179574222589,483,10,30,6,15,16,5,6,32,980
1_7592,07/06/2011 17:44:02,5,3.58495849326276,371,11,27,5,12,12,5,6,22,754
