Id,Date,Original,Calculated,TotalSentimentWords,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,TotalWords
2_20661,03/07/2014 23:15:51,5,1,220,2,14,0,0,14,8,4,10,453
2_20568,02/10/2014 15:07:16,5,1.75489676940216,256,2,10,0,11,2,5,1,15,557
2_20498,02/09/2014 09:36:17,5,2.51457729478026,208,5,14,2,4,9,1,7,20,524
2_20219,01/09/2014 13:32:45,5,1,264,12,16,5,23,0,11,2,23,589
2_20092,01/07/2014 05:48:26,5,1.78588176135941,270,11,13,6,12,5,7,6,15,594
2_20375,02/05/2014 00:34:12,5,1,251,12,13,1,19,5,1,2,19,493
2_20484,02/09/2014 20:36:05,5,3.04890926882916,224,3,12,1,4,8,3,2,10,560
2_20377,02/07/2014 00:06:45,5,4.51454638043857,375,7,40,4,7,10,4,7,26,741
2_20164,01/07/2014 00:00:29,5,4.05888743741361,270,1,11,0,10,7,1,0,22,536
2_20906,04/07/2014 19:25:34,5,2.00000400746953,285,13,14,2,19,6,12,3,22,604
2_20016,01/05/2014 21:03:46,5,1,237,10,11,7,11,7,13,7,28,495
2_20011,01/05/2014 18:06:50,5,3.96046594955024,378,8,33,2,5,16,6,6,30,750
2_20528,02/09/2014 20:42:42,5,1.60769374083651,255,11,26,6,7,17,3,9,21,569
2_20483,02/09/2014 20:36:05,5,3.04890926882916,218,3,12,1,4,8,3,2,10,547
2_20362,02/05/2014 00:09:08,5,1,245,12,13,1,19,5,1,2,19,479
2_20719,03/07/2014 22:46:22,5,4.90686414661821,215,4,19,1,2,14,3,7,25,451
2_20019,01/05/2014 11:06:36,5,3.35940154452325,352,7,24,2,10,11,5,4,26,791
2_20675,03/07/2014 10:00:38,5,1,193,16,12,3,23,3,14,2,10,441
2_20715,03/07/2014 20:32:57,5,1.46949052384053,395,19,25,6,26,8,23,6,31,910
2_20094,01/07/2014 05:48:26,5,1.78588176135941,270,11,13,6,12,5,7,6,15,593
2_20542,02/09/2014 21:09:40,5,1.00000601120846,438,34,35,9,35,5,11,9,27,998
2_20678,03/07/2014 20:32:57,5,1.54749261400343,391,19,25,6,26,8,23,6,31,899
2_20721,03/07/2014 20:19:02,5,1,220,11,13,4,12,9,12,7,27,447
2_20169,01/07/2014 21:51:04,5,1,213,7,14,2,11,4,7,5,15,429
2_20754,03/09/2014 17:37:11,5,3.64384969771358,296,5,16,3,8,7,4,3,25,628
2_20469,02/09/2014 21:07:27,5,1.60090995010072,380,23,28,11,25,12,9,13,38,791
2_20297,01/10/2014 18:28:35,5,1,289,10,18,4,22,6,6,2,27,564
