Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME
1980-12-12T00:00:00,,,28.875,28.75,2093900
1980-12-15T00:00:00,,,27.375,27.25,785200
1980-12-16T00:00:00,,,25.375,25.25,472000
1980-12-17T00:00:00,,,26,25.875,385900
1980-12-18T00:00:00,,,26.75,26.625,327900
1980-12-19T00:00:00,,,28.375,28.25,217100
1980-12-22T00:00:00,,,29.75,29.625,166800
1980-12-23T00:00:00,,,31,30.875,209600
1980-12-24T00:00:00,,,32.625,32.5,214300
1980-12-26T00:00:00,,,35.625,35.5,248100
1980-12-29T00:00:00,,,36.125,36,415900
1980-12-30T00:00:00,,,35.25,35.125,307500
1980-12-31T00:00:00,,,34.25,34.125,159600
1981-01-02T00:00:00,,,34.75,34.5,96700
1981-01-05T00:00:00,,,33.875,33.75,159500
1981-01-06T00:00:00,,,32.375,32.25,201600
1981-01-07T00:00:00,,,31,30.875,248600
1981-01-08T00:00:00,,,30.375,30.25,177800
1981-01-09T00:00:00,,,32,31.875,96000
1981-01-12T00:00:00,,,31.875,31.625,105800
1981-01-13T00:00:00,,,30.625,30.5,102900
1981-01-14T00:00:00,,,30.75,30.625,63800
1981-01-15T00:00:00,,,31.5,31.25,62800
1981-01-16T00:00:00,,,31.125,31,59800
1981-01-19T00:00:00,,,33,32.875,185600
1981-01-20T00:00:00,,,32,31.875,134300
1981-01-21T00:00:00,,,32.75,32.5,71000
1981-01-22T00:00:00,,,33.125,32.875,158700
1981-01-23T00:00:00,,,33,32.75,50100
1981-01-26T00:00:00,,,32.375,32.25,110000
1981-01-27T00:00:00,,,32.25,32,105800
1981-01-28T00:00:00,,,31.125,31,125700
1981-01-29T00:00:00,,,30,29.875,196000
1981-01-30T00:00:00,,,28.5,28.25,206200
1981-02-02T00:00:00,,,26.75,26.625,106100
1981-02-03T00:00:00,,,27.75,27.625,85500
1981-02-04T00:00:00,,,28.75,28.625,124400
1981-02-05T00:00:00,,,28.875,28.625,35400
1981-02-06T00:00:00,,,28.875,28.75,61900
1981-02-09T00:00:00,,,27.5,27.25,74800
1981-02-10T00:00:00,,,27.375,27.25,81900
1981-02-11T00:00:00,,,26.5,26.375,61800
1981-02-12T00:00:00,,,26.25,26.125,65000
1981-02-13T00:00:00,,,25.75,25.5,49800
1981-02-17T00:00:00,,,26.25,26.125,54800
1981-02-18T00:00:00,,,27.5,27.25,85900
1981-02-19T00:00:00,,,25.75,25.625,99600
1981-02-20T00:00:00,,,24.375,24.25,108800
1981-02-23T00:00:00,,,24.75,24.625,63000
1981-02-24T00:00:00,,,24,23.75,75800
1981-02-25T00:00:00,,,25.375,25.25,87000
1981-02-26T00:00:00,,,25.75,25.625,48400
1981-02-27T00:00:00,,,26.75,26.5,65900
1981-03-02T00:00:00,,,26.75,26.625,52500
1981-03-03T00:00:00,,,26.375,26.25,72200
1981-03-04T00:00:00,,,26.125,26,61200
1981-03-05T00:00:00,,,26,25.875,24000
1981-03-06T00:00:00,,,25.875,25.625,51800
1981-03-09T00:00:00,,,23.75,23.625,68400
1981-03-10T00:00:00,,,22.625,22.5,126700
1981-03-11T00:00:00,,,21.875,21.625,133300
1981-03-12T00:00:00,,,22.625,22.5,264500
1981-03-13T00:00:00,,,22.375,22.25,1032600
1981-03-16T00:00:00,,,23.375,23.125,166200
1981-03-17T00:00:00,,,24.5,24.25,195300
1981-03-18T00:00:00,,,26,25.75,164900
1981-03-19T00:00:00,,,25.625,25.5,168800
1981-03-20T00:00:00,,,26,25.75,65200
1981-03-23T00:00:00,,,27,26.75,98300
1981-03-24T00:00:00,,,26.75,26.625,125700
1981-03-25T00:00:00,,,26.375,26.125,31500
1981-03-26T00:00:00,,,25.75,25.625,54800
1981-03-27T00:00:00,,,24.875,24.75,54700
1981-03-30T00:00:00,,,25,24.75,44200
1981-03-31T00:00:00,,,24.75,24.5,71400
1981-04-01T00:00:00,,,24.375,24.25,152100
1981-04-02T00:00:00,,,26.5,26.375,140200
1981-04-03T00:00:00,,,26.625,26.5,73600
1981-04-06T00:00:00,,,26.125,26,101800
1981-04-07T00:00:00,,,25.875,25.75,47700
1981-04-08T00:00:00,,,27.25,27,98000
1981-04-09T00:00:00,,,27.625,27.5,55800
1981-04-10T00:00:00,,,28,27.875,149400
1981-04-13T00:00:00,,,28,27.875,71700
1981-04-14T00:00:00,,,28,27.875,29700
1981-04-15T00:00:00,,,26.625,26.5,152000
1981-04-16T00:00:00,,,25.125,25,106600
1981-04-20T00:00:00,,,25.875,25.75,157800
1981-04-21T00:00:00,,,27.625,27.5,127400
1981-04-22T00:00:00,,,28.625,28.5,84800
1981-04-23T00:00:00,,,29.375,29.25,259000
1981-04-24T00:00:00,,,29.25,29,156500
1981-04-27T00:00:00,,,28.875,28.75,172000
1981-04-28T00:00:00,,,28.375,28.25,143700
1981-04-29T00:00:00,,,28,27.875,60900
1981-04-30T00:00:00,,,28.625,28.375,56300
1981-05-01T00:00:00,,,28.625,28.375,73900
1981-05-04T00:00:00,,,28.375,28.25,64500
1981-05-05T00:00:00,,,28.25,28.125,78300
1981-05-06T00:00:00,,,27.5,27.375,84600
1981-05-07T00:00:00,,,27.875,27.75,41800
1981-05-08T00:00:00,,,28.125,28,35300
1981-05-11T00:00:00,,,27.5,27.375,53300
1981-05-12T00:00:00,,,27.75,27.375,19000
1981-05-13T00:00:00,,,27.625,27.25,21900
1981-05-14T00:00:00,,,27.125,26.875,22000
