Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME
1980-07-28T00:00:00,42.25,41.75,42.25,41.5,21100
1980-07-29T00:00:00,44.875,42,44.875,42,88400
1980-07-30T00:00:00,48.375,47,49.25,46.875,59300
1980-07-31T00:00:00,49.625,48.25,49.875,48.25,44000
1980-08-01T00:00:00,51.125,51.5,51.5,50.5,55900
1980-08-04T00:00:00,51.75,50.875,52,50.625,24200
1980-08-05T00:00:00,52.375,51.75,53,51.75,42400
1980-08-06T00:00:00,50.875,52,52,50.625,29300
1980-08-07T00:00:00,50.625,51.125,51.25,50.5,18200
1980-08-08T00:00:00,51.25,51.25,52,51.125,39300
1980-08-11T00:00:00,53,51.5,53,51.25,45200
1980-08-12T00:00:00,52.25,53,54,52,37100
1980-08-13T00:00:00,51.25,52.25,52.375,51.25,19500
1980-08-14T00:00:00,52.625,51.25,53.125,51.25,35700
1980-08-15T00:00:00,52,53.25,53.375,51.75,17200
1980-08-18T00:00:00,49.25,51.625,51.875,49.25,35600
1980-08-19T00:00:00,47.375,48.875,49.25,47,53300
1980-08-20T00:00:00,50,47,50,46.875,54100
1980-08-21T00:00:00,53,50.5,53.25,50.5,25600
1980-08-22T00:00:00,54.75,53.25,55,53.25,59900
1980-08-25T00:00:00,54.25,54.875,55.125,54.25,27800
1980-08-26T00:00:00,55.625,54.5,57,54.5,23700
1980-08-27T00:00:00,53.75,55.125,55.375,53.75,24800
1980-08-28T00:00:00,52.5,52.5,53.75,52.25,27900
1980-08-29T00:00:00,51.25,50.75,51.375,49.625,51100
1980-09-02T00:00:00,50.875,51,51,50.125,20200
1980-09-03T00:00:00,53.25,51.125,53.75,51,29200
1980-09-04T00:00:00,53.75,54,54.5,53.375,36300
1980-09-05T00:00:00,54.375,54.25,54.375,53.75,26900
1980-09-08T00:00:00,51.625,54.125,54.25,51.375,25800
1980-09-09T00:00:00,52.25,51.625,52.375,50.625,17800
1980-09-10T00:00:00,53,54.125,54.375,52.875,51300
1980-09-11T00:00:00,54,53.375,54.75,53.375,23800
1980-09-12T00:00:00,52.75,54.125,54.125,52.25,17700
1980-09-15T00:00:00,51.75,52.5,52.5,51.75,17300
1980-09-16T00:00:00,54,52,54.625,52,50000
1980-09-17T00:00:00,56.125,54.25,57,54.25,46500
1980-09-18T00:00:00,56.875,56.5,57.75,56.5,49000
1980-09-19T00:00:00,60.375,56.875,61.5,56.75,52700
1980-09-22T00:00:00,63,61,63,61,39400
1980-09-23T00:00:00,65.125,64.75,69.375,64.5,81000
1980-09-24T00:00:00,68.5,65,68.75,65,52300
1980-09-25T00:00:00,66.875,68.75,69.875,66.5,33900
1980-09-26T00:00:00,61.375,65.25,65.25,60.25,71500
1980-09-29T00:00:00,58,59.5,59.5,56.625,76900
1980-09-30T00:00:00,62.125,58,62.125,58,67600
1980-10-01T00:00:00,60.5,62,62,59.75,48700
1980-10-02T00:00:00,59.625,60.5,61.125,59,35000
1980-10-03T00:00:00,62.125,59,62.875,59,45600
1980-10-06T00:00:00,64.5,62.625,65.5,62.625,29300
1980-10-07T00:00:00,65.25,65.75,65.875,64.5,34900
1980-10-08T00:00:00,65.25,65.5,65.75,64.75,26500
1980-10-09T00:00:00,66.375,65.75,66.5,65.75,23000
1980-10-10T00:00:00,62,66.5,66.5,62,32100
1980-10-13T00:00:00,64.5,62.75,64.75,62.75,17800
1980-10-14T00:00:00,63.5,64.5,64.625,63.5,30700
1980-10-15T00:00:00,63.25,63.25,63.5,63,19500
1980-10-16T00:00:00,62.25,63.25,64.75,62.25,15600
1980-10-17T00:00:00,61.125,61.5,61.625,60.75,17700
1980-10-20T00:00:00,61.25,60.875,61.25,60.5,12400
1980-10-21T00:00:00,61.375,61.5,62.375,61.25,24100
1980-10-22T00:00:00,62.25,61.25,62.625,61.25,10300
1980-10-23T00:00:00,60.625,61.875,62,60.5,22500
1980-10-24T00:00:00,31.5,30.125,31.5,30.125,45800
1980-10-27T00:00:00,29.5,30.75,31,29.5,28900
1980-10-28T00:00:00,30,29.25,30,28.75,66700
1980-10-29T00:00:00,30.25,29.875,30.375,29.5,27100
1980-10-30T00:00:00,27.125,30,30,27.125,76800
1980-10-31T00:00:00,28.75,27.125,28.75,27.125,110800
1980-11-03T00:00:00,29,29.75,30,28.75,51100
1980-11-05T00:00:00,32.5,35.5,35.5,32.25,174300
1980-11-06T00:00:00,31,32,32,30.75,75100
1980-11-07T00:00:00,30.875,30.75,31.125,30.375,37100
1980-11-10T00:00:00,32.125,31.375,32.375,31.125,33600
1980-11-11T00:00:00,33.125,33,33.75,32.5,38700
1980-11-12T00:00:00,34,33.375,34,32.75,42000
1980-11-13T00:00:00,36.25,34,36.25,33.5,78700
1980-11-14T00:00:00,38,36.25,39.5,35.375,114600
