Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME
1980-01-02T00:00:00,1.5149,1.5149,1.5149,1.5149,
1980-01-03T00:00:00,1.5177,1.5177,1.5177,1.5177,
1980-01-04T00:00:00,1.5129,1.5129,1.5129,1.5129,
1980-01-07T00:00:00,1.5168,1.5168,1.5168,1.5168,
1980-01-08T00:00:00,1.5108,1.5108,1.5108,1.5108,
1980-01-09T00:00:00,1.5161,1.5161,1.5161,1.5161,
1980-01-10T00:00:00,1.5133,1.5133,1.5133,1.5133,
1980-01-11T00:00:00,1.5108,1.5108,1.5108,1.5108,
1980-01-14T00:00:00,1.511,1.511,1.511,1.511,
1980-01-15T00:00:00,1.5047,1.5047,1.5047,1.5047,
1980-01-16T00:00:00,1.5074,1.5074,1.5074,1.5074,
1980-01-17T00:00:00,1.5074,1.5074,1.5074,1.5074,
1980-01-18T00:00:00,1.5083,1.5083,1.5083,1.5083,
1980-01-21T00:00:00,1.5053,1.5053,1.5053,1.5053,
1980-01-22T00:00:00,1.5006,1.5006,1.5006,1.5006,
1980-01-23T00:00:00,1.5035,1.5035,1.5035,1.5035,
1980-01-24T00:00:00,1.5026,1.5026,1.5026,1.5026,
1980-01-25T00:00:00,1.5004,1.5004,1.5004,1.5004,
1980-01-28T00:00:00,1.4993,1.4993,1.4993,1.4993,
1980-01-29T00:00:00,1.4979,1.4979,1.4979,1.4979,
1980-01-30T00:00:00,1.4986,1.4986,1.4986,1.4986,
1980-01-31T00:00:00,1.4945,1.4945,1.4945,1.4945,
1980-02-01T00:00:00,1.4919,1.4919,1.4919,1.4919,
1980-02-04T00:00:00,1.4923,1.4923,1.4923,1.4923,
1980-02-05T00:00:00,1.4952,1.4952,1.4952,1.4952,
1980-02-06T00:00:00,1.4993,1.4993,1.4993,1.4993,
1980-02-07T00:00:00,1.4977,1.4977,1.4977,1.4977,
1980-02-08T00:00:00,1.4948,1.4948,1.4948,1.4948,
1980-02-11T00:00:00,1.4979,1.4979,1.4979,1.4979,
1980-02-12T00:00:00,1.4966,1.4966,1.4966,1.4966,
1980-02-13T00:00:00,1.5004,1.5004,1.5004,1.5004,
1980-02-14T00:00:00,1.5011,1.5011,1.5011,1.5011,
1980-02-15T00:00:00,1.497,1.497,1.497,1.497,
1980-02-18T00:00:00,1.4957,1.4957,1.4957,1.4957,
1980-02-19T00:00:00,1.4899,1.4899,1.4899,1.4899,
1980-02-20T00:00:00,1.491,1.491,1.491,1.491,
1980-02-21T00:00:00,1.4903,1.4903,1.4903,1.4903,
1980-02-22T00:00:00,1.4813,1.4813,1.4813,1.4813,
1980-02-25T00:00:00,1.4791,1.4791,1.4791,1.4791,
1980-02-26T00:00:00,1.4791,1.4791,1.4791,1.4791,
1980-02-27T00:00:00,1.4782,1.4782,1.4782,1.4782,
1980-02-28T00:00:00,1.48,1.48,1.48,1.48,
1980-02-29T00:00:00,1.4689,1.4689,1.4689,1.4689,
1980-03-03T00:00:00,1.4628,1.4628,1.4628,1.4628,
1980-03-04T00:00:00,1.4588,1.4588,1.4588,1.4588,
1980-03-05T00:00:00,1.4596,1.4596,1.4596,1.4596,
1980-03-06T00:00:00,1.451,1.451,1.451,1.451,
