Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME
1980-01-01T00:00:00,2.2185,2.2185,2.2185,2.2185,
1980-01-02T00:00:00,2.2427,2.2427,2.2427,2.2427,
1980-01-03T00:00:00,2.24,2.24,2.24,2.24,
1980-01-04T00:00:00,2.237,2.237,2.237,2.237,
1980-01-07T00:00:00,2.2615,2.2615,2.2615,2.2615,
1980-01-08T00:00:00,2.262,2.262,2.262,2.262,
1980-01-09T00:00:00,2.266,2.266,2.266,2.266,
1980-01-10T00:00:00,2.258,2.258,2.258,2.258,
1980-01-11T00:00:00,2.257,2.257,2.257,2.257,
1980-01-14T00:00:00,2.2755,2.2755,2.2755,2.2755,
1980-01-15T00:00:00,2.2765,2.2765,2.2765,2.2765,
1980-01-16T00:00:00,2.271,2.271,2.271,2.271,
1980-01-17T00:00:00,2.277,2.277,2.277,2.277,
1980-01-18T00:00:00,2.2855,2.2855,2.2855,2.2855,
1980-01-21T00:00:00,2.2835,2.2835,2.2835,2.2835,
1980-01-22T00:00:00,2.275,2.275,2.275,2.275,
1980-01-23T00:00:00,2.2775,2.2775,2.2775,2.2775,
1980-01-24T00:00:00,2.2778,2.2778,2.2778,2.2778,
1980-01-25T00:00:00,2.261,2.261,2.261,2.261,
1980-01-28T00:00:00,2.2475,2.2475,2.2475,2.2475,
1980-01-29T00:00:00,2.2495,2.2495,2.2495,2.2495,
1980-01-30T00:00:00,2.262,2.262,2.262,2.262,
1980-01-31T00:00:00,2.2667,2.2667,2.2667,2.2667,
1980-02-01T00:00:00,2.274,2.274,2.274,2.274,
1980-02-04T00:00:00,2.2865,2.2865,2.2865,2.2865,
1980-02-05T00:00:00,2.2905,2.2905,2.2905,2.2905,
1980-02-06T00:00:00,2.312,2.312,2.312,2.312,
1980-02-07T00:00:00,2.3015,2.3015,2.3015,2.3015,
1980-02-08T00:00:00,2.298,2.298,2.298,2.298,
1980-02-11T00:00:00,2.3047,2.3047,2.3047,2.3047,
1980-02-12T00:00:00,2.3047,2.3047,2.3047,2.3047,
1980-02-13T00:00:00,2.308,2.308,2.308,2.308,
1980-02-14T00:00:00,2.3131,2.3131,2.3131,2.3131,
1980-02-15T00:00:00,2.295,2.295,2.295,2.295,
1980-02-18T00:00:00,2.295,2.295,2.295,2.295,
1980-02-19T00:00:00,2.272,2.272,2.272,2.272,
1980-02-20T00:00:00,2.2794,2.2794,2.2794,2.2794,
1980-02-21T00:00:00,2.2865,2.2865,2.2865,2.2865,
1980-02-22T00:00:00,2.2745,2.2745,2.2745,2.2745,
1980-02-25T00:00:00,2.276,2.276,2.276,2.276,
1980-02-26T00:00:00,2.2767,2.2767,2.2767,2.2767,
1980-02-27T00:00:00,2.287,2.287,2.287,2.287,
1980-02-28T00:00:00,2.2848,2.2848,2.2848,2.2848,
1980-02-29T00:00:00,2.273,2.273,2.273,2.273,
1980-03-03T00:00:00,2.242,2.242,2.242,2.242,
1980-03-04T00:00:00,2.235,2.235,2.235,2.235,
1980-03-05T00:00:00,2.24,2.24,2.24,2.24,
1980-03-06T00:00:00,2.2335,2.2335,2.2335,2.2335,
1980-03-07T00:00:00,2.227,2.227,2.227,2.227,
1980-03-10T00:00:00,2.2168,2.2168,2.2168,2.2168,
1980-03-11T00:00:00,2.2265,2.2265,2.2265,2.2265,
1980-03-12T00:00:00,2.2335,2.2335,2.2335,2.2335,
