Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME
1980-07-28T00:00:00,41.5,42,42,41.5,81700
1980-07-29T00:00:00,41.75,41.875,41.875,41.5,80300
1980-07-30T00:00:00,41.875,41.875,41.875,41.5,16700
1980-07-31T00:00:00,41.875,41.5,41.875,41.5,121600
1980-08-01T00:00:00,41.5,41.875,42,41.5,177600
1980-08-04T00:00:00,41.125,41.375,41.375,40.625,30400
1980-08-05T00:00:00,40.625,41.25,41.25,40.625,100900
1980-08-06T00:00:00,40.875,40.625,41,40.625,81400
1980-08-07T00:00:00,41.5,40.75,41.625,40.75,57000
1980-08-08T00:00:00,41.25,41.875,42,41.25,83400
1980-08-11T00:00:00,41,40.875,41,40.625,65400
1980-08-12T00:00:00,41.125,41.125,41.625,41,79600
1980-08-13T00:00:00,40.875,40.875,41.125,40.75,43100
1980-08-14T00:00:00,41,40.875,41,40.375,81500
1980-08-15T00:00:00,42,41.25,42,41.25,37600
1980-08-18T00:00:00,41.5,41.75,42,41.25,109800
1980-08-19T00:00:00,41.375,41,41.375,40.875,85700
1980-08-20T00:00:00,41.25,41.125,41.25,40.875,50100
1980-08-21T00:00:00,41.375,41.375,41.5,40.875,113000
1980-08-22T00:00:00,41.5,41.25,41.5,41.25,66200
1980-08-25T00:00:00,41.5,41.625,41.875,41.375,92000
1980-08-26T00:00:00,42,41.5,42.25,41.5,41700
1980-08-27T00:00:00,41.125,41.5,41.625,41.125,366000
1980-08-28T00:00:00,40.75,41.375,41.5,40.75,34000
1980-08-29T00:00:00,41,40.5,41.5,40.5,23500
1980-09-02T00:00:00,41.625,41.375,41.75,41,17700
1980-09-03T00:00:00,43.125,42,43.125,42,74800
1980-09-04T00:00:00,42.625,43,43.125,42.625,37400
1980-09-05T00:00:00,42.375,42.625,42.75,42.375,23800
1980-09-08T00:00:00,42.625,42.375,42.75,42.375,21100
1980-09-09T00:00:00,41.625,42.125,42.125,41.625,74800
1980-09-10T00:00:00,42,42,42.5,41.75,12600
1980-09-11T00:00:00,42.75,42.25,42.75,42.125,62100
1980-09-12T00:00:00,42.625,42.5,43,42.25,46100
1980-09-15T00:00:00,42.875,42.875,43,42.75,100700
1980-09-16T00:00:00,42.625,42.875,42.875,42.375,83200
1980-09-17T00:00:00,42.75,42.75,43,42.75,82200
1980-09-18T00:00:00,42.875,43,43.125,42.875,200800
1980-09-19T00:00:00,42.75,43,43,42.625,54200
1980-09-22T00:00:00,42.625,42.5,42.875,41.5,43000
1980-09-23T00:00:00,42.75,43.125,43.125,41.875,18300
1980-09-24T00:00:00,42.5,42.25,42.75,41.625,35500
1980-09-25T00:00:00,41.875,42.375,42.75,41.875,109100
1980-09-26T00:00:00,39.875,41.25,41.25,39.875,53900
1980-09-29T00:00:00,39.25,39.875,39.875,39.25,41300
1980-09-30T00:00:00,39.625,39.25,39.75,39.25,34900
1980-10-01T00:00:00,39.25,39.5,39.5,39.25,96300
1980-10-02T00:00:00,39.875,39.25,39.875,39.25,102500
1980-10-03T00:00:00,40.625,40.25,40.875,40.25,113000
1980-10-06T00:00:00,41,40.875,41.125,40.75,49800
1980-10-07T00:00:00,41.25,41.25,41.625,41.25,38300
1980-10-08T00:00:00,41.25,41.25,41.375,41,89300
1980-10-09T00:00:00,41.375,41.25,41.875,41.25,81500
1980-10-10T00:00:00,41.375,41.75,42.5,41.125,51300
1980-10-13T00:00:00,41.75,41.25,41.75,41.125,13200
1980-10-14T00:00:00,41.75,41.875,42,41.25,28300
1980-10-15T00:00:00,41,41.625,41.875,40.75,23600
1980-10-16T00:00:00,41.125,41.25,41.5,41.125,57500
1980-10-17T00:00:00,41.25,41.125,41.5,40.75,86900
1980-10-20T00:00:00,41.125,41,41.375,41,71700
1980-10-21T00:00:00,41.125,41.125,41.5,41.125,36100
1980-10-22T00:00:00,41,41.125,41.25,41,32500
1980-10-23T00:00:00,40.75,41.125,41.25,40.75,53000
1980-10-24T00:00:00,40.75,40.75,41,40.5,170200
1980-10-27T00:00:00,41,41,41.5,40.875,81500
1980-10-28T00:00:00,41.125,40.875,41.375,40.75,73900
1980-10-29T00:00:00,41.125,41.25,41.375,40.75,46400
1980-10-30T00:00:00,41.125,40.75,41.375,40.5,27000
1980-10-31T00:00:00,41.125,41,41.125,40.75,38800
1980-11-03T00:00:00,41,41.5,41.5,41,25900
1980-11-05T00:00:00,41,41,41.5,41,121600
1980-11-06T00:00:00,39.75,41,41,39.75,137700
1980-11-07T00:00:00,39.75,39.75,40,39.375,43300
1980-11-10T00:00:00,40,40,40.25,39.625,25900
1980-11-11T00:00:00,40.5,40.25,40.5,40.25,82200
1980-11-12T00:00:00,41.125,40.5,41.25,40.25,159700
1980-11-13T00:00:00,42,42.5,42.75,41.75,663800
1980-11-14T00:00:00,42.125,41.75,42.375,41.75,318100
1980-11-17T00:00:00,41,42.25,42.375,41,31500
1980-11-18T00:00:00,41,41,41.375,41,30100
1980-11-19T00:00:00,40,41,41.25,39.75,157800
1980-11-20T00:00:00,39.875,39.875,40.125,39.125,66800
1980-11-21T00:00:00,39.25,40,40,39,148400
1980-11-24T00:00:00,39.5,39.25,39.5,39,254500
1980-11-25T00:00:00,39.625,39.375,40,39.375,227500
1980-11-26T00:00:00,39.375,39.875,40.125,39.375,36600
1980-11-28T00:00:00,39.375,39.375,39.875,39.375,20500
1980-12-01T00:00:00,39,39.625,39.875,39,98100
1980-12-02T00:00:00,39.125,39.25,39.25,38.75,35900
1980-12-03T00:00:00,38.875,38.875,39.125,38.625,31100
1980-12-04T00:00:00,39.25,38.75,39.25,38.75,147500
1980-12-05T00:00:00,38.875,39.125,39.25,38.875,176300
1980-12-08T00:00:00,39,38.875,39.25,38.625,81500
1980-12-09T00:00:00,38.625,38.375,38.75,38.125,91200
