Date,Value
29/01/1993,43.9375
01/02/1993,44.25
02/02/1993,44.3438
03/02/1993,44.8125
04/02/1993,45
05/02/1993,44.9688
08/02/1993,44.9688
09/02/1993,44.6563
10/02/1993,44.7188
11/02/1993,44.9375
12/02/1993,44.5938
16/02/1993,43.4688
17/02/1993,43.4375
18/02/1993,43.4063
19/02/1993,43.5625
22/02/1993,43.7188
23/02/1993,43.6875
24/02/1993,44.25
25/02/1993,44.3438
26/02/1993,44.4063
01/03/1993,44.2813
02/03/1993,44.9375
03/03/1993,45.125
04/03/1993,44.875
05/03/1993,44.75
08/03/1993,45.75
09/03/1993,45.5938
10/03/1993,45.6875
11/03/1993,45.5625
12/03/1993,45.0938
15/03/1993,45.3125
16/03/1993,45.3125
17/03/1993,45.0313
18/03/1993,45.3125
19/03/1993,45.0313
22/03/1993,44.7813
23/03/1993,44.875
24/03/1993,44.875
25/03/1993,45.1563
26/03/1993,44.9063
29/03/1993,45.0938
30/03/1993,45.2188
31/03/1993,45.1875
01/04/1993,45.0313
02/04/1993,44.0938
05/04/1993,44.3125
06/04/1993,44.1875
07/04/1993,44.3438
08/04/1993,44.2813
12/04/1993,44.9063
13/04/1993,45
14/04/1993,44.9375
15/04/1993,44.9375
16/04/1993,44.9375
19/04/1993,44.75
20/04/1993,44.5313
21/04/1993,44.5
22/04/1993,43.9375
23/04/1993,43.75
26/04/1993,43.4063
27/04/1993,43.875
28/04/1993,43.7813
29/04/1993,43.9688
30/04/1993,44.0313
03/05/1993,44.3125
04/05/1993,44.4688
05/05/1993,44.5938
06/05/1993,44.4375
07/05/1993,44.3438
10/05/1993,44.4375
11/05/1993,44.625
12/05/1993,44.5625
13/05/1993,44.0313
14/05/1993,44
17/05/1993,44.1563
18/05/1993,44.125
19/05/1993,45.0313
20/05/1993,45.1563
21/05/1993,44.75
24/05/1993,44.9375
25/05/1993,45.0313
26/05/1993,45.5938
27/05/1993,45.4375
28/05/1993,45.2188
01/06/1993,45.6563
02/06/1993,45.5938
03/06/1993,45.4375
04/06/1993,45.2813
07/06/1993,45.125
08/06/1993,44.7188
09/06/1993,44.875
10/06/1993,44.9063
11/06/1993,45.0938
14/06/1993,45.0313
15/06/1993,44.9375
16/06/1993,45.0313
17/06/1993,45.1875
18/06/1993,44.5
21/06/1993,44.5938
22/06/1993,44.625
23/06/1993,44.4375
24/06/1993,44.8125
25/06/1993,44.7813
28/06/1993,45.2813
29/06/1993,45.0625
30/06/1993,45.0625
01/07/1993,44.9375
02/07/1993,44.6875
06/07/1993,44.2188
07/07/1993,44.3438
08/07/1993,44.8438
09/07/1993,44.9688
12/07/1993,44.9375
13/07/1993,44.9063
14/07/1993,45.0625
15/07/1993,44.875
16/07/1993,44.75
19/07/1993,44.7188
20/07/1993,44.8438
21/07/1993,44.8125
22/07/1993,44.5
23/07/1993,44.7188
26/07/1993,44.9688
27/07/1993,44.9375
28/07/1993,44.8438
